股票代码,起始日期,结束日期,行数,覆盖年数,收盘价<=0天数,成交量=0天数,单日涨跌幅绝对值>21%天数,收盘价较前日变动>50%天数,重复日期条数,关键字段NaN条数,任意红旗,红旗项,红旗分数
601668,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601669,2015-06-30,2026-06-30,2663,11.01,0,0,0,0,0,0,False,,0
601688,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601689,2015-06-30,2026-06-30,2662,11.01,0,0,0,0,0,0,False,,0
601698,2019-06-28,2026-06-30,1698,7.01,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601727,2015-06-30,2026-06-30,2413,11.01,0,0,0,0,0,0,False,,0
601728,2021-08-20,2026-06-30,1174,4.86,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601766,2015-06-30,2026-06-30,2662,11.01,0,0,0,0,0,0,False,,0
601788,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601800,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601816,2020-01-16,2026-06-30,1561,6.46,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601818,2015-06-30,2026-06-30,2661,11.01,0,0,0,0,0,0,False,,0
601825,2021-08-19,2026-06-30,1175,4.87,0,0,0,0,0,0,False,,0
601838,2018-01-31,2026-06-30,2037,8.42,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601857,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601868,2021-09-28,2026-06-30,1149,4.76,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601872,2015-06-30,2026-06-30,2572,11.01,0,0,0,0,0,0,False,,0
601877,2015-11-27,2026-06-30,2565,10.6,0,0,0,0,0,0,False,,0
601878,2017-06-26,2026-06-30,2188,9.02,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601881,2017-01-23,2026-06-30,2288,9.44,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601888,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601898,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601899,2015-06-30,2026-06-30,2666,11.01,0,0,0,0,0,0,False,,0
601901,2015-06-30,2026-06-30,2659,11.01,0,0,0,0,0,0,False,,0
601916,2019-11-26,2026-06-30,1591,6.6,0,0,0,0,0,0,False,,0
601919,2015-06-30,2026-06-30,2530,11.01,0,0,0,0,0,0,False,,0
601939,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601985,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601988,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
601995,2020-11-02,2026-06-30,1352,5.66,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
601998,2015-06-30,2026-06-30,2670,11.01,0,0,0,0,0,0,False,,0
603019,2015-06-30,2026-06-30,2657,11.01,0,0,0,0,0,0,False,,0
603259,2018-05-08,2026-06-30,1977,8.15,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
603260,2017-10-30,2026-06-30,2103,8.67,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
603288,2015-06-30,2026-06-30,2672,11.01,0,0,0,0,0,0,False,,0
603296,2023-08-08,2026-06-30,699,2.9,0,0,0,0,0,0,False,,0
603369,2015-06-30,2026-06-30,2669,11.01,0,0,0,0,0,0,False,,0
603392,2020-04-29,2026-06-30,1494,6.17,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
603501,2017-05-04,2026-06-30,2052,9.16,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
603799,2015-06-30,2026-06-30,2657,11.01,0,0,0,0,0,0,False,,0
603893,2020-02-07,2026-06-30,1551,6.4,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
603986,2016-08-18,2026-06-30,2186,9.87,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
603993,2015-06-30,2026-06-30,2653,11.01,0,0,0,0,0,0,False,,0
605117,2021-04-20,2026-06-30,1258,5.2,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
605499,2021-05-27,2026-06-30,1234,5.1,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688008,2019-07-22,2026-06-30,1682,6.95,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688009,2019-07-22,2026-06-30,1682,6.95,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688012,2019-07-22,2026-06-30,1673,6.95,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688036,2019-09-30,2026-06-30,1633,6.75,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688041,2022-08-12,2026-06-30,928,3.88,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688047,2022-06-24,2026-06-30,973,4.02,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688072,2022-04-20,2026-06-26,1014,4.19,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688082,2021-11-18,2026-06-30,1117,4.62,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688111,2019-11-18,2026-06-30,1603,6.62,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688126,2020-04-20,2026-06-30,1491,6.2,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688183,2021-02-25,2026-06-30,1295,5.35,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688223,2022-01-26,2026-06-30,1069,4.43,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688256,2020-07-20,2026-06-30,1441,5.95,0,0,2,0,0,0,True,单日涨跌幅绝对值>21%天数,100
688271,2022-08-22,2026-06-30,932,3.86,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688303,2021-07-22,2026-06-30,1195,4.94,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688396,2020-02-27,2026-06-30,1537,6.34,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688472,2023-06-09,2026-06-30,739,3.06,0,0,0,0,0,0,False,,0
688506,2023-01-06,2026-06-30,840,3.48,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688521,2020-08-18,2026-06-30,1410,5.87,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
688981,2020-07-16,2026-06-30,1437,5.96,0,0,1,0,0,0,True,单日涨跌幅绝对值>21%天数,50
